"sep=;"
"ordinal_id";"github_repo_id";"repo_full_name";"repo_html_url";"repo_forks_count";"stargazers_count";"contributors_count";"repo_created_at";"repo_is_fork";"repo_has_issues";"repo_open_issues_count";"repo_has_wiki";"repo_network_count";"repo_pushed_at";"repo_size";"repo_updated_at";"repo_watchers_count";"project_id";"project_name";"project_url";"project_htmlurl";"project_created_at";"project_updated_at";"project_homepage_url";"project_average_rating";"project_rating_count";"project_review_count";"project_activity_level";"project_user_count";"twelve_month_contributor_count";"total_contributor_count";"twelve_month_commit_count";"total_commit_count";"total_code_lines";"main_language_name";"developer_works_during_bd";"developer_works_period";"developer_all_pushes";"developer_all_stars_given";"developer_all_creations";"developer_all_issues_created";"developer_all_pull_requests"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"False";"260";"386";"0";"76";"0";"42"
"76";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"0";"True";"6";"2015-01-19 10:21:33";"372267";"2015-01-19 10:21:33";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2015-01-06T03:13:50Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6722";"165978";"PHP";"True";"280";"447";"0";"70";"0";"338"
"29";"clientside/amplesdk";"clientside/amplesdk";"https://github.com/clientside/amplesdk";"29";"157";"4";"2009-10-30 13:59:47";"False";"True";"52";"False";"29";"2014-01-28 18:18:40";"82776";"2014-09-11 12:52:03";"157";"473637";"Ample SDK - JavaScript UI Framework";"https://www.openhub.net/p/amplesdk.xml";"https://www.openhub.net/p/amplesdk";"2009-11-09T17:01:41Z";"2015-01-15T22:44:12Z";"http://amplesdk.com/";"5.0";"7";"0";"30";"12";"1";"8";"34";"2294";"76473";"JavaScript";"None";"0";"0";"0";"0";"0";"0"
"67";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"588";"7";"2009-01-27 20:34:16";"False";"True";"30";"True";"207";"2015-01-08 13:15:50";"12176";"2015-01-17 08:40:35";"588";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"6";"7";"1";"2";"0";"1"
"84";"ginatrapani/ThinkUp";"ginatrapani/ThinkUp";"https://github.com/ginatrapani/ThinkUp";"733";"3213";"6";"2009-06-06 19:27:42";"False";"True";"180";"True";"733";"2015-01-19 23:09:35";"51994";"2015-01-19 23:29:24";"3213";"481303";"ThinkUp";"https://www.openhub.net/p/ThinkUp.xml";"https://www.openhub.net/p/ThinkUp";"2010-02-22T03:12:29Z";"2014-12-14T03:40:40Z";"http://thinkupapp.com/";"5.0";"2";"0";"40";"7";"8";"114";"84";"2109";"141324";"PHP";"True";"55";"7";"0";"28";"0";"19"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"True";"748";"394";"0";"18";"171";"308"
"37";"wymeditor/wymeditor";"wymeditor/wymeditor";"https://github.com/wymeditor/wymeditor";"98";"483";"4";"2010-01-22 10:50:59";"False";"True";"112";"True";"98";"2015-01-17 08:29:42";"16475";"2015-01-13 18:48:16";"483";"6198";"WYMeditor";"https://www.openhub.net/p/wym-editor.xml";"https://www.openhub.net/p/wym-editor";"2007-06-23T01:05:09Z";"2015-01-04T18:36:09Z";"http://www.wymeditor.org/";"5.0";"4";"0";"70";"10";"6";"39";"1107";"2646";"74148";"JavaScript";"True";"16";"21";"1";"13";"0";"2"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"False";"215";"586";"0";"2";"0";"0"
"76";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"0";"True";"6";"2015-01-19 10:21:33";"372267";"2015-01-19 10:21:33";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2015-01-06T03:13:50Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6722";"165978";"PHP";"False";"220";"194";"0";"154";"0";"187"
"29";"clientside/amplesdk";"clientside/amplesdk";"https://github.com/clientside/amplesdk";"29";"157";"4";"2009-10-30 13:59:47";"False";"True";"52";"False";"29";"2014-01-28 18:18:40";"82776";"2014-09-11 12:52:03";"157";"473637";"Ample SDK - JavaScript UI Framework";"https://www.openhub.net/p/amplesdk.xml";"https://www.openhub.net/p/amplesdk";"2009-11-09T17:01:41Z";"2015-01-15T22:44:12Z";"http://amplesdk.com/";"5.0";"7";"0";"30";"12";"1";"8";"34";"2294";"76473";"JavaScript";"None";"0";"0";"0";"0";"0";"0"
"67";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"588";"7";"2009-01-27 20:34:16";"False";"True";"30";"True";"207";"2015-01-08 13:15:50";"12176";"2015-01-17 08:40:35";"588";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"True";"1";"0";"1";"0";"0";"0"
"84";"ginatrapani/ThinkUp";"ginatrapani/ThinkUp";"https://github.com/ginatrapani/ThinkUp";"733";"3213";"6";"2009-06-06 19:27:42";"False";"True";"180";"True";"733";"2015-01-19 23:09:35";"51994";"2015-01-19 23:29:24";"3213";"481303";"ThinkUp";"https://www.openhub.net/p/ThinkUp.xml";"https://www.openhub.net/p/ThinkUp";"2010-02-22T03:12:29Z";"2014-12-14T03:40:40Z";"http://thinkupapp.com/";"5.0";"2";"0";"40";"7";"8";"114";"84";"2109";"141324";"PHP";"True";"1";"0";"0";"1";"0";"0"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"True";"4";"3";"0";"1";"0";"0"
"76";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"0";"True";"6";"2015-01-19 10:21:33";"372267";"2015-01-19 10:21:33";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2015-01-06T03:13:50Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6722";"165978";"PHP";"False";"4";"0";"3";"0";"1";"0"
"37";"wymeditor/wymeditor";"wymeditor/wymeditor";"https://github.com/wymeditor/wymeditor";"98";"483";"4";"2010-01-22 10:50:59";"False";"True";"112";"True";"98";"2015-01-17 08:29:42";"16475";"2015-01-13 18:48:16";"483";"6198";"WYMeditor";"https://www.openhub.net/p/wym-editor.xml";"https://www.openhub.net/p/wym-editor";"2007-06-23T01:05:09Z";"2015-01-04T18:36:09Z";"http://www.wymeditor.org/";"5.0";"4";"0";"70";"10";"6";"39";"1107";"2646";"74148";"JavaScript";"False";"1547";"1598";"0";"0";"132";"222"
"67";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"588";"7";"2009-01-27 20:34:16";"False";"True";"30";"True";"207";"2015-01-08 13:15:50";"12176";"2015-01-17 08:40:35";"588";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"False";"21";"15";"0";"0";"4";"1"
"84";"ginatrapani/ThinkUp";"ginatrapani/ThinkUp";"https://github.com/ginatrapani/ThinkUp";"733";"3213";"6";"2009-06-06 19:27:42";"False";"True";"180";"True";"733";"2015-01-19 23:09:35";"51994";"2015-01-19 23:29:24";"3213";"481303";"ThinkUp";"https://www.openhub.net/p/ThinkUp.xml";"https://www.openhub.net/p/ThinkUp";"2010-02-22T03:12:29Z";"2014-12-14T03:40:40Z";"http://thinkupapp.com/";"5.0";"2";"0";"40";"7";"8";"114";"84";"2109";"141324";"PHP";"True";"18";"10";"3";"17";"0";"13"
"30";"wso2-dev/carbon-identity";"wso2-dev/carbon-identity";"https://github.com/wso2-dev/carbon-identity";"41";"0";"7";"2014-06-03 09:28:43";"True";"False";"21";"True";"51";"2015-01-16 10:59:50";"18754";"2015-01-16 10:59:50";"0";"5827";"WSO2 Identity Server";"https://www.openhub.net/p/identityserver.xml";"https://www.openhub.net/p/identityserver";"2007-06-05T13:37:47Z";"2015-01-15T18:54:57Z";"http://wso2.org/projects/identity";"5.0";"3";"0";"60";"11";"36";"68";"360";"1087";"581393";"Java";"False";"8";"4";"0";"0";"0";"9"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"True";"16";"32";"0";"12";"2";"0"
"76";"Anakeen/dynacase-core";"Anakeen/dynacase-core";"https://github.com/Anakeen/dynacase-core";"6";"12";"8";"2011-08-05 07:38:48";"False";"True";"0";"True";"6";"2015-01-19 10:21:33";"372267";"2015-01-19 10:21:33";"12";"8271";"dynacase-platform";"https://www.openhub.net/p/dynacase.xml";"https://www.openhub.net/p/dynacase";"2007-09-06T14:09:32Z";"2015-01-06T03:13:50Z";"http://www.dynacase.org/";"5.0";"5";"0";"60";"7";"4";"15";"496";"6722";"165978";"PHP";"None";"0";"0";"0";"0";"0";"0"
